Time,Temp 1,Temp 2,Control 1,Control 2
0,20.949499999999997,20.949499999999997,0.0,0.0
1.05,20.949499999999997,20.949499999999997,0.0,0.0
2.06,20.949499999999997,20.949499999999997,0.0,0.0
3.13,20.949499999999997,20.949499999999997,0.0,0.0
4.06,20.949499999999997,20.949499999999997,0.0,0.0
5.07,20.949499999999997,20.949499999999997,0.0,0.0
6.09,20.949499999999997,20.949499999999997,0.0,0.0
7.06,20.949499999999997,20.949499999999997,0.0,0.0
8.09,20.949499999999997,20.949499999999997,0.0,0.0
9.07,20.949499999999997,20.949499999999997,0.0,0.0
10.06,20.949499999999997,20.949499999999997,80.0,0.0
11.05,20.949499999999997,20.949499999999997,80.0,0.0
12.06,20.949499999999997,20.949499999999997,80.0,0.0
13.06,20.949499999999997,20.949499999999997,80.0,0.0
14.06,20.949499999999997,20.949499999999997,80.0,0.0
15.06,20.949499999999997,20.949499999999997,80.0,0.0
16.05,21.2718,20.949499999999997,80.0,0.0
17.11,21.2718,20.949499999999997,80.0,0.0
18.12,21.2718,20.949499999999997,80.0,0.0
19.06,21.594099999999997,20.949499999999997,80.0,0.0
20.05,21.594099999999997,20.949499999999997,80.0,0.0
21.06,21.9164,20.949499999999997,80.0,0.0
22.09,21.9164,20.949499999999997,80.0,0.0
23.08,22.238699999999998,20.949499999999997,80.0,0.0
24.12,22.238699999999998,20.949499999999997,80.0,0.0
25.07,22.561,20.949499999999997,80.0,0.0
26.05,22.561,20.949499999999997,80.0,0.0
27.13,22.8833,20.949499999999997,80.0,0.0
28.13,23.205599999999997,20.949499999999997,80.0,0.0
29.1,23.205599999999997,20.949499999999997,80.0,0.0
30.05,23.5279,20.949499999999997,80.0,0.0
31.06,23.5279,20.949499999999997,80.0,0.0
32.06,23.850199999999997,20.949499999999997,80.0,0.0
33.09,24.1725,20.949499999999997,80.0,0.0
34.08,24.494799999999998,20.949499999999997,80.0,0.0
35.07,24.817099999999996,20.949499999999997,80.0,0.0
36.08,24.817099999999996,20.949499999999997,80.0,0.0
37.07,25.1394,21.2718,80.0,0.0
38.07,25.461699999999997,20.949499999999997,80.0,0.0
39.05,25.461699999999997,21.2718,80.0,0.0
40.13,25.784,21.2718,80.0,0.0
41.08,26.106299999999997,21.2718,80.0,0.0
42.08,26.106299999999997,21.2718,80.0,0.0
43.06,26.4286,21.2718,80.0,0.0
44.08,27.073199999999996,21.2718,80.0,0.0
45.07,27.073199999999996,21.2718,80.0,0.0
46.05,27.3955,21.2718,80.0,0.0
47.07,27.3955,21.594099999999997,80.0,0.0
48.07,27.717799999999997,21.594099999999997,80.0,0.0
49.09,28.0401,21.594099999999997,80.0,0.0
50.06,28.362399999999997,21.594099999999997,80.0,0.0
51.06,28.6847,21.594099999999997,80.0,0.0
52.06,28.6847,21.594099999999997,80.0,0.0
53.08,29.006999999999998,21.594099999999997,80.0,0.0
54.06,29.329299999999996,21.594099999999997,80.0,0.0
55.06,29.6516,21.594099999999997,80.0,0.0
56.06,29.973899999999997,21.9164,80.0,0.0
57.09,29.973899999999997,21.9164,80.0,0.0
58.06,30.2962,21.9164,80.0,0.0
59.11,30.618499999999997,21.9164,80.0,0.0
60.11,30.940799999999996,21.9164,80.0,0.0
61.06,31.263099999999998,21.9164,80.0,0.0
62.06,31.263099999999998,21.9164,80.0,0.0
63.05,31.585399999999996,21.9164,80.0,0.0
64.07,31.9077,21.9164,80.0,0.0
65.08,32.23,21.9164,80.0,0.0
66.07,32.552299999999995,22.238699999999998,80.0,0.0
67.05,32.552299999999995,22.238699999999998,80.0,0.0
68.08,32.8746,22.238699999999998,80.0,0.0
69.05,33.1969,22.238699999999998,80.0,0.0
70.06,33.1969,22.238699999999998,80.0,0.0
71.06,33.5192,22.238699999999998,80.0,0.0
72.06,33.841499999999996,22.238699999999998,80.0,0.0
73.07,34.163799999999995,22.238699999999998,80.0,0.0
74.07,34.163799999999995,22.561,80.0,0.0
75.08,34.4861,22.561,80.0,0.0
76.06,34.8084,22.561,80.0,0.0
77.06,34.8084,22.561,80.0,0.0
78.06,35.1307,22.561,80.0,0.0
79.08,35.452999999999996,22.561,80.0,0.0
80.06,35.775299999999994,22.561,80.0,0.0
81.06,35.775299999999994,22.8833,80.0,0.0
82.05,36.0976,22.8833,80.0,0.0
83.07,36.4199,22.8833,80.0,0.0
84.07,36.4199,22.8833,80.0,0.0
85.07,36.7422,22.8833,80.0,0.0
86.06,37.064499999999995,22.8833,80.0,0.0
87.06,37.386799999999994,22.8833,80.0,0.0
88.06,37.386799999999994,22.8833,80.0,0.0
89.06,37.7091,22.8833,80.0,0.0
90.06,38.0314,23.205599999999997,80.0,0.0
91.06,38.0314,23.205599999999997,80.0,0.0
92.07,38.353699999999996,22.8833,80.0,0.0
93.06,38.675999999999995,23.205599999999997,80.0,0.0
